nome_hotel,prezzo_iniziale,prezzo,credito_guadagnato,stanza,città,data,punteggio,stelle,stelle_booking,partner_preferiti,novita,evidenza,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
Casa Al Massimo,€ 129,€ 121,Guadagna € 8 di Credito,Camera Matrimoniale Standard,"Monte di Pietà, Palermo",2024-06-15,"8,4
Punteggio di 8,4",,3.0,preferred_plus,False,False,191 recensioni,400 m dal centro,True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Enzo'S Suite,€ 94,€ 85,,Camera King con Vista Giardino,Palermo,2024-06-15,"9,1
Punteggio di 9,1",,3.0,,False,False,97 recensioni,"1,3 km dal centro",True,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Rosella Bianchi,€ 64,€ 64,,Camera Matrimoniale con Bagno Privato,"La Kalsa, Palermo",2024-06-15,"7,9
Punteggio di 7,9",,3.0,,False,False,510 recensioni,"1,2 km dal centro",False,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
BB 10 Serpotta & Restaurant,€ 124,€ 112,,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-06-15,"8,5
Punteggio di 8,5",,4.0,preferred,False,False,317 recensioni,"0,6 km dal centro",True,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Le Cupole Design,€ 131,€ 119,Guadagna € 8 di Credito,Camera King Standard,"Castellammare Vucciria, Palermo",2024-06-15,"9,4
Punteggio di 9,4",,4.0,preferred_plus,False,False,219 recensioni,"0,5 km dal centro",True,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Al Galileo Siciliano,€ 59,€ 53,,Camera Matrimoniale,Palermo,2024-06-15,"7,1
Punteggio di 7,1",,3.0,preferred,False,False,375 recensioni,"2,1 km dal centro",True,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Suites Central Station,€ 139,€ 125,,Camera Tripla con Balcone,Palermo,2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred,False,False,294 recensioni,"1,4 km dal centro",True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
B&B Alla Stazione,€ 74,€ 74,,Camera Matrimoniale,Palermo,2024-06-15,"7,7
Punteggio di 7,7",,3.0,,False,False,264 recensioni,"1,6 km dal centro",False,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
SANT'ELIGIO APARTMENTS & ROOMS,€ 84,€ 84,,Camera Matrimoniale con Bagno Privato,"Castellammare Vucciria, Palermo",2024-06-15,"9,7
Punteggio di 9,7",,3.0,,True,False,3 recensioni,"0,7 km dal centro",False,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
APOLEON Centro Storico,€ 79,€ 79,,Camera Deluxe Matrimoniale/Doppia con Letti Singoli,"La Kalsa, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,,,True,False,20 recensioni,"1,2 km dal centro",False,,True,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Stanze al Genio B&B,€ 124,€ 124,,Camera King,"La Kalsa, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,308 recensioni,"1,3 km dal centro",False,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Residenza Wagner,€ 136,€ 136,,Camera Matrimoniale/Doppia con Letti Singoli con Bagno Privato Esterno,"Ruggero Settimo, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,4.0,preferred_plus,False,False,256 recensioni,450 m dal centro,False,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
B&B Palermo Sole & Cultura,€ 100,€ 69,,Camera Tripla con Bagno Privato Esterno,Palermo,2024-06-15,"7,9
Punteggio di 7,9",,3.0,preferred,False,False,599 recensioni,2 km dal centro,True,Offerta Vacanze ,True,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Hotel Mediterraneo,€ 96,€ 96,,Camera Matrimoniale/Doppia con Letti Singoli,"Ruggero Settimo, Palermo",2024-06-15,"7,7
Punteggio di 7,7",3.0,,,False,False,3.888 recensioni,200 m dal centro,False,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Mix&Match,€ 105,€ 95,,Camera Matrimoniale Superior,"La Kalsa, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,,False,False,154 recensioni,"0,9 km dal centro",True,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Four Luxury Suite,€ 283,€ 152,,Camera King con Vasca Idromassaggio,Palermo,2024-06-15,"9,1
Punteggio di 9,1",,4.0,preferred,False,True,115 recensioni,"0,6 km dal centro",True,Offerta Vacanze ,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Bahalara Alloggio,€ 71,€ 71,,Camera Doppia con Letti Singoli,"Albergaria, Palermo",2024-06-15,"7,6
Punteggio di 7,6",,3.0,preferred,False,False,524 recensioni,"1,2 km dal centro",True,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Le Cupole Decò,€ 142,€ 128,,Camera Matrimoniale Deluxe con Balcone e Vista Città,"Castellammare Vucciria, Palermo",2024-06-15,"9,3
Punteggio di 9,3",,4.0,preferred,False,False,336 recensioni,"0,6 km dal centro",True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Basile rooms,€ 112,€ 82,,Camera Matrimoniale Deluxe con Balcone,Palermo,2024-06-15,"8,5
Punteggio di 8,5",,,preferred,False,True,119 recensioni,"1,8 km dal centro",True,Offerta Vacanze ,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Alba Camere,€ 136,€ 123,,Camera Matrimoniale con Bagno Privato Esterno,Palermo,2024-06-15,"8,4
Punteggio di 8,4",,3.0,preferred,False,False,1.373 recensioni,200 m dal centro,True,,False,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
La Ciconella,€ 90,€ 81,,Camera Matrimoniale con Bagno Privato,Palermo,2024-06-15,"8,4
Punteggio di 8,4",,3.0,,False,False,336 recensioni,"1,6 km dal centro",True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Via Zara,€ 81,€ 72,,Camera Matrimoniale Budget,"La Kalsa, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,,preferred,False,False,1.092 recensioni,"0,8 km dal centro",True,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Rest and Go,€ 89,€ 67,,Camera Tripla Standard,"Albergaria, Palermo",2024-06-15,"8,2
Punteggio di 8,2",,3.0,preferred,False,False,337 recensioni,"1,3 km dal centro",True,Offerta Vacanze ,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Suk Ballarò,€ 139,€ 125,Guadagna € 9 di Credito,Camera King Deluxe,"Albergaria, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred_plus,False,False,169 recensioni,1 km dal centro,True,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Triscele Glamour Rooms,€ 99,€ 99,,Camera Matrimoniale Standard,Palermo,2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred,False,False,291 recensioni,350 m dal centro,False,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Petrosino,€ 148,€ 133,,Camera Matrimoniale con Vista Giardino,"La Kalsa, Palermo",2024-06-15,"8,6
Punteggio di 8,6",,4.0,preferred,False,False,802 recensioni,1 km dal centro,True,,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Le Quattro Chiavi,€ 139,€ 129,,Appartamento Standard,"Castellammare Vucciria, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,True,389 recensioni,300 m dal centro,True,,False,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Granatelli Rooms - City B&B,€ 160,€ 160,,Camera Matrimoniale con Balcone,"Ruggero Settimo, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred_plus,False,False,286 recensioni,300 m dal centro,False,,True,False,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
Superior Suite Palermo,€ 234,€ 206,,Camera King con Vasca Idromassaggio,"La Kalsa, Palermo",2024-06-15,"9,8
Punteggio di 9,8",,4.0,preferred,False,True,50 recensioni,"0,9 km dal centro",True,,True,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
AUSA suites,€ 175,€ 107,Guadagna € 7 di Credito,Camera Matrimoniale,"La Kalsa, Palermo",2024-06-15,"9,0
Punteggio di 9,0",,4.0,preferred_plus,False,False,223 recensioni,"1,3 km dal centro",False,Offerta a tempo limitato ,False,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
White,€ 173,€ 103,,Camera King con Balcone,Palermo,2024-06-15,"8,9
Punteggio di 8,9",,4.0,preferred,False,False,1.098 recensioni,"1,5 km dal centro",True,,True,False,False,MacOS,pantilaura56,desktop,05-07-2024---14:37
Archè Design Rooms and Suites,€ 143,€ 143,,Camera Matrimoniale Economy,"Ruggero Settimo, Palermo",2024-06-15,"9,2
Punteggio di 9,2",,4.0,preferred,False,False,580 recensioni,"0,6 km dal centro",False,,False,True,True,MacOS,pantilaura56,desktop,05-07-2024---14:37
