nome_hotel,prezzo,stanza,città,data,punteggio,numero_recensioni,distanza_centro,genius,offerte,colazione_inclusa,senza_pagamento_anticipato,cancellazione_gratuita,os,username,user_agent_type,TIMESTAMP
LULETTA HOME,€ 56,Camera Matrimoniale con Bagno Privato,Palermo,2024-03-20,"7,5",4 recensioni,"1,6 km dal centro",True,Offerta Inizio 2024 ,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Piccola suite e dimora del teatro Massimo,€ 93,Monolocale,"Castellammare Vucciria, Palermo",2024-03-20,"7,8",23 recensioni,150 m dal centro,True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
ALLOGGIO DEI MILLE,€ 48,Camera Tripla Basic con Bagno in Comune,Palermo,2024-03-20,"6,0",117 recensioni,"1,6 km dal centro",False,,False,True,True,Linux,pantilaura56,desktop,03-04-2024---12:49
casetta della cattedrale,€ 109,Appartamento con 1 Camera da Letto,"Albergaria, Palermo",2024-03-20,"9,4",15 recensioni,"0,9 km dal centro",True,Offerta Inizio 2024 ,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
BALLARÒ ROOM'S,€ 64,Camera Queen Standard,"Albergaria, Palermo",2024-03-20,,,"1,1 km dal centro",False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Casablanca,€ 59,Camera Tripla,"La Kalsa, Palermo",2024-03-20,"5,1",103 recensioni,"1,3 km dal centro",False,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
Palazzo Edy&Stef 2,€ 68,Appartamento con 1 Camera da Letto,"Castellammare Vucciria, Palermo",2024-03-20,"8,3",3 recensioni,"0,6 km dal centro",False,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Central Mezzanine,€ 116,Appartamento Deluxe,"La Kalsa, Palermo",2024-03-20,"7,9",230 recensioni,"0,8 km dal centro",True,,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
Casa Vacanze Zafira,€ 218,Casa Vacanze,Palermo,2024-03-20,"9,8",13 recensioni,"1,7 km dal centro",True,,False,False,True,Linux,pantilaura56,desktop,03-04-2024---12:49
- Palermo - Sferracavallo sul mare,€ 58,Appartamento con 1 Camera da Letto,Palermo,2024-03-20,"9,4",28 recensioni,"11,2 km dal centro",True,Offerta Inizio 2024 ,False,False,False,Linux,pantilaura56,desktop,03-04-2024---12:49
